conceptSetId	conceptSetName	CONCEPT_ID	CONCEPT_NAME	CONCEPT_CODE	INVALID_REASON	DOMAIN_ID	VOCABULARY_ID	CONCEPT_CLASS_ID	includeDescendants	isExcluded	FILENAME
0	[PIONEER] PCa	4163261	Malignant tumor of prostate	399068003	V	Condition	SNOMED	Clinical Finding	true	false	[PIONEER] 1_All PCa broad.json
0	PCa	4163261	Malignant tumor of prostate	399068003	V	Condition	SNOMED	Clinical Finding	true	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	4179527	Compression fracture of vertebral column	42942008	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	201688	Delay when starting to pass urine	5972002	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	197684	Dysuria	49650001	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	4258293	Fecal fluid leakage	439158007	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	79864	Hematuria syndrome	53298000	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	433811	Hydronephrosis	43064006	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	4091805	Incomplete urination	249287002	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	197675	Incontinence of feces	72042002	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	4096554	Infrequent urination	249291007	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	193518	Intestinal obstruction	81060008	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	4329041	Pain	22253000	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	4158343	Peripheral edema	271809000	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	4012231	Poor stream of urine	162128006	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	192450	Retention of urine	267064002	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	4322945	Spinal cord compression	71286001	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	193326	Urge incontinence of urine	87557004	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
2	[PIONEER] Symptoms	200845	Urgent desire to urinate	75088002	V	Condition	SNOMED	Clinical Finding	false	false	[PIONEER] 2_PCa Treated Right Away broad.json
